id,текст,количество_комментариев,количество_репостов,обработанный_текст
1,В нашем районе отключили свет.,25,1,район отключить свет
2,Как же я устал от постоянных пробок.,39,12,устать постоянный пробка
3,Вчера произошел взрыв на заводе.,23,6,вчера произойти взрыв завод
4,Погода сегодня просто ужасная.,28,8,погода сегодня ужасный
5,В нашем дворе снова бродячие собаки.,6,5,двор бродячий собака
6,"Никаких новостей, все спокойно.",37,0,никакой новость спокойно
7,У нас в городе нет воды уже несколько дней.,37,9,город вода день
8,Как же мне не хватает солнца!,37,1,хватать солнце
9,Вчера был инцидент с дронами.,24,10,вчера инцидент дронами
10,В нашем районе много мусора.,21,9,район мусор
11,Соседские собаки снова лают по ночам.,31,0,соседский собака лаять ночь
12,Вчера произошел обвал на стройке.,17,9,вчера произойти обвал стройка
13,Как же я люблю гулять в парке.,24,0,любить гулять парк
14,В нашем районе отключили электричество.,11,14,район отключить электричество
15,Вчера был сильный дождь.,12,5,вчера сильный дождь
16,В нашем городе много новых кафе.,14,0,город новый кафе
17,Вчера произошла авария на дороге.,20,3,вчера произойти авария дорога
18,Как же мне не хватает отдыха.,35,7,хватать отдых
19,В нашем районе много бродячих собак.,12,0,район бродячий собака
20,"Вчера был праздник, все гуляли.",26,0,вчера праздник гулять
21,В нашем городе много новых зданий.,36,0,город новый здание
22,Вчера произошел инцидент с дронами.,20,8,вчера произойти инцидент дронами
23,Как же я люблю свою работу!,18,1,любить работа
24,В нашем районе отключили воду.,21,4,район отключить вода
25,Вчера был сильный ветер.,25,4,вчера сильный ветер
26,В нашем городе много новых магазинов.,8,0,город новый магазин
27,Вчера произошел взрыв в центре города.,25,5,вчера произойти взрыв центр город
28,Как же мне не хватает времени.,32,6,хватать время
29,В нашем районе много мусора.,10,7,район мусор
30,Вчера был инцидент с бродячими собаками.,40,4,вчера инцидент бродячий собака
31,В нашем городе много новых парков.,25,8,город новый парк
32,Вчера произошла авария на железной дороге.,13,8,вчера произойти авария железный дорога
33,Как же мне не хватает общения.,12,12,хватать общение
34,В нашем районе отключили газ.,24,13,район отключить газ
35,Вчера был сильный снегопад.,6,0,вчера сильный снегопад
36,В нашем городе много новых школ.,35,4,город новый школа
37,Вчера произошел инцидент с дронами в парке.,35,11,вчера произойти инцидент дронами парк
38,Как же я люблю гулять по вечерам.,25,0,любить гулять вечер
39,В нашем районе много бродячих кошек.,25,5,район бродячий кошка
40,Вчера был инцидент с аварией на дороге.,40,1,вчера инцидент авария дорога
41,В нашем городе много новых ресторанов.,17,5,город новый ресторан
42,Вчера произошел обвал на стройке.,26,11,вчера произойти обвал стройка
43,Как же мне не хватает свежего воздуха.,30,3,хватать свежий воздух
44,В нашем районе отключили электричество.,29,4,район отключить электричество
45,Вчера был сильный дождь.,27,15,вчера сильный дождь
46,В нашем городе много новых магазинов.,35,13,город новый магазин
47,Вчера произошел инцидент с бродячими собаками.,31,8,вчера произойти инцидент бродячий собака
48,Как же мне не хватает спокойствия.,17,13,хватать спокойствие
49,В нашем районе много мусора.,5,11,район мусор
50,"Вчера был праздник, все гуляли.",19,8,вчера праздник гулять
51,В нашем городе много новых кафе.,34,0,город новый кафе
52,Вчера произошел инцидент с дронами.,38,0,вчера произойти инцидент дронами
53,Как же я люблю свою работу!,40,0,любить работа
54,В нашем районе отключили воду.,34,8,район отключить вода
55,Вчера был сильный ветер.,35,12,вчера сильный ветер
56,В нашем городе много новых магазинов.,3,2,город новый магазин
57,Вчера произошел взрыв в центре города.,36,0,вчера произойти взрыв центр город
58,Как же мне не хватает времени.,8,8,хватать время
59,В нашем районе много мусора.,31,7,район мусор
60,Вчера был инцидент с бродячими собаками.,6,3,вчера инцидент бродячий собака
61,В нашем городе много новых парков.,5,9,город новый парк
62,Вчера произошла авария на железной дороге.,5,1,вчера произойти авария железный дорога
63,Как же мне не хватает общения.,31,10,хватать общение
64,В нашем районе отключили газ.,32,3,район отключить газ
65,Вчера был сильный снегопад.,23,3,вчера сильный снегопад
66,В нашем городе много новых школ.,9,9,город новый школа
67,Вчера произошел инцидент с дронами в парке.,26,7,вчера произойти инцидент дронами парк
68,Как же я люблю гулять по вечерам.,31,4,любить гулять вечер
69,В нашем районе много бродячих кошек.,33,2,район бродячий кошка
70,Вчера был инцидент с аварией на дороге.,26,13,вчера инцидент авария дорога
