Район,Конкурс,Год,Количество участников,Средний балл,Необходимые знания
Район1,Английский язык_ШЭ,2023,244,44.3,"Знание основ английского языка, включая грамматику, базовый словарный запас, навыки устной речи и аудирования."
Район1,Английский язык_МЭ,2023,106,28.71,"Разговорный английский на среднем уровне, навыки общения в различных ситуациях."
Район1,Английский язык_РЭ,2023,68,19.53,"Чтение и глубокое понимание сложных текстов, написание эссе."
Район1,Английский язык_ЗЭ,2023,227,46.88,"Письмо и составление различных текстов, включая деловую переписку."
Район1,Английский язык_МЭ,2024,126,26.18,"Разговорный английский на высоком уровне, анализ текстов и их интерпретация."
Район1,Английский язык_РЭ,2024,179,39.09,"Критическое чтение, написание научных работ и эссе."
Район1,Английский язык_ЗЭ,2024,126,30.66,"Создание резюме и сопроводительных писем, навыки редактирования."
Район1,Астрономия_ШЭ,2023,160,38.43,"Основы астрономии, знание планет и звезд, работа с телескопом."
Район1,Астрономия_РЭ,2023,54,14.95,"Астрономические расчеты, понимание законов движения небесных тел."
Район1,Астрономия_ЗЭ,2023,100,20.25,"История астрономии, влияние астрономии на культуру."
Район1,Астрономия_ШЭ,2024,185,32.95,"Углубленное изучение астрономических явлений, работа с современными телескопами."
Район1,Астрономия_МЭ,2024,125,28.29,"Анализ данных астрономических наблюдений, изучение звездных систем."
Район1,Астрономия_РЭ,2024,98,26.75,"Понимание астрофизики, работа с астрономическими моделями."
Район1,Астрономия_ЗЭ,2024,248,46.65,Современные достижения в астрономии и космонавтике.
Район1,Биология_ШЭ,2023,158,33.02,"Основы биологии, экология, анатомия."
Район1,Биология_МЭ,2023,169,38.88,"Изучение экосистем, взаимодействие организмов."
Район1,Биология_РЭ,2023,68,21.24,"Анализ биологических данных, работа с микроскопом."
Район1,Биология_ЗЭ,2023,229,47.9,"История биологии, влияние на медицину."
Район1,Биология_ШЭ,2024,20,8.81,Углубленное изучение клеточной биологии и генетики.
Район1,Биология_МЭ,2024,133,28.94,Изучение биологических процессов на молекулярном уровне.
Район1,Биология_РЭ,2024,117,27.65,"Работа с биоинформатикой, анализ генетических данных."
Район1,Биология_ЗЭ,2024,121,28.83,Современные достижения в биологии и биотехнологиях.
Район1,География_ШЭ,2023,84,22.34,"Знание географии, карты, страны и столицы."
Район1,География_МЭ,2023,37,19.84,"Экономическая география, влияние человека на природу."
Район1,География_РЭ,2023,97,24.55,"Географические исследования, работа с картами."
Район1,География_ЗЭ,2023,185,37.16,"История географии, влияние на культуру."
Район1,География_ШЭ,2024,36,17.86,Углубленное изучение физической и экономической географии.
Район1,География_МЭ,2024,240,50.28,Анализ природных ресурсов и их использование.
Район1,География_ЗЭ,2024,163,34.0,Современные достижения в географии.
Район1,Информатика_ШЭ,2023,41,20.4,"Основы программирования, работа с данными."
Район1,Информатика_МЭ,2023,149,36.01,"Разработка программного обеспечения, работа с базами данных."
