id,текст,количество_комментариев,количество_репостов
1,В нашем районе отключили свет.,25,1
2,Как же я устал от постоянных пробок.,39,12
3,Вчера произошел взрыв на заводе.,23,6
4,Погода сегодня просто ужасная.,28,8
5,В нашем дворе снова бродячие собаки.,6,5
6,"Никаких новостей, все спокойно.",37,0
7,У нас в городе нет воды уже несколько дней.,37,9
8,Как же мне не хватает солнца!,37,1
9,Вчера был инцидент с дронами.,24,10
10,В нашем районе много мусора.,21,9
11,Соседские собаки снова лают по ночам.,31,0
12,Вчера произошел обвал на стройке.,17,9
13,Как же я люблю гулять в парке.,24,0
14,В нашем районе отключили электричество.,11,14
15,Вчера был сильный дождь.,12,5
16,В нашем городе много новых кафе.,14,0
17,Вчера произошла авария на дороге.,20,3
18,Как же мне не хватает отдыха.,35,7
19,В нашем районе много бродячих собак.,12,0
20,"Вчера был праздник, все гуляли.",26,0
21,В нашем городе много новых зданий.,36,0
22,Вчера произошел инцидент с дронами.,20,8
23,Как же я люблю свою работу!,18,1
24,В нашем районе отключили воду.,21,4
25,Вчера был сильный ветер.,25,4
26,В нашем городе много новых магазинов.,8,0
27,Вчера произошел взрыв в центре города.,25,5
28,Как же мне не хватает времени.,32,6
29,В нашем районе много мусора.,10,7
30,Вчера был инцидент с бродячими собаками.,40,4
31,В нашем городе много новых парков.,25,8
32,Вчера произошла авария на железной дороге.,13,8
33,Как же мне не хватает общения.,12,12
34,В нашем районе отключили газ.,24,13
35,Вчера был сильный снегопад.,6,0
36,В нашем городе много новых школ.,35,4
37,Вчера произошел инцидент с дронами в парке.,35,11
38,Как же я люблю гулять по вечерам.,25,0
39,В нашем районе много бродячих кошек.,25,5
40,Вчера был инцидент с аварией на дороге.,40,1
41,В нашем городе много новых ресторанов.,17,5
42,Вчера произошел обвал на стройке.,26,11
43,Как же мне не хватает свежего воздуха.,30,3
44,В нашем районе отключили электричество.,29,4
45,Вчера был сильный дождь.,27,15
46,В нашем городе много новых магазинов.,35,13
47,Вчера произошел инцидент с бродячими собаками.,31,8
48,Как же мне не хватает спокойствия.,17,13
49,В нашем районе много мусора.,5,11
50,"Вчера был праздник, все гуляли.",19,8
51,В нашем городе много новых кафе.,34,0
52,Вчера произошел инцидент с дронами.,38,0
53,Как же я люблю свою работу!,40,0
54,В нашем районе отключили воду.,34,8
55,Вчера был сильный ветер.,35,12
56,В нашем городе много новых магазинов.,3,2
57,Вчера произошел взрыв в центре города.,36,0
58,Как же мне не хватает времени.,8,8
59,В нашем районе много мусора.,31,7
60,Вчера был инцидент с бродячими собаками.,6,3
61,В нашем городе много новых парков.,5,9
62,Вчера произошла авария на железной дороге.,5,1
63,Как же мне не хватает общения.,31,10
64,В нашем районе отключили газ.,32,3
65,Вчера был сильный снегопад.,23,3
66,В нашем городе много новых школ.,9,9
67,Вчера произошел инцидент с дронами в парке.,26,7
68,Как же я люблю гулять по вечерам.,31,4
69,В нашем районе много бродячих кошек.,33,2
70,Вчера был инцидент с аварией на дороге.,26,13
